session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What,Subcategories,start time,end time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Clerks,[With Whom] Patient Relation Reps,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Other,[With Whom] No one,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,is session complete?,health_professional_desc,total_session,total_activity,time_slot,task_order,with_whom,how,start_normalized_hms,end_normalized_hms
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_1,Social-Personal Activities,0,09:34:24,09:36:26,00:02:02,0,1,0,0,0,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10153_10387_2,NA,NA,NA,00:02:02,NA,NA,TRUE,Physician,241.55,2.033333333333333,morning,1,Nurse,NA,00:00:00,00:02:02
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_2,Professional Communication,0,09:36:26,09:39:00,00:02:34,0,1,0,0,0,0,0,0,0,0,1,0,0,Screeening/Triage Area,0,10153_10387_3,NA,NA,NA,00:02:34,NA,NA,TRUE,Physician,241.55,2.566666666666667,morning,2,Nurse,Desktop Computer,00:02:02,00:04:36
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_3,No observation,Private Meeting,09:39:00,09:42:55,00:03:55,0,0,0,0,0,0,1,0,0,0,0,0,0,Corridors,0,10153_10387_4,NA,NA,NA,00:03:55,NA,NA,TRUE,Physician,241.55,3.9166666666666665,morning,3,Allied Health Professional,NA,00:04:36,00:08:31
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_4,Supervision-Education,0,09:42:55,10:00:48,00:17:53,0,1,0,0,0,0,0,0,0,0,0,1,0,Screeening/Triage Area,0,10153_10387_5,NA,NA,NA,00:17:53,NA,NA,TRUE,Physician,241.55,17.883333333333333,morning,4,Nurse,Mobile Computer,00:08:31,00:26:24
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_5,Direct Care,Medical History,10:00:48,10:02:13,00:01:25,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10153_10387_6,NA,NA,NA,00:01:25,NA,NA,TRUE,Physician,241.55,1.4166666666666667,morning,5,Patient,NA,00:26:24,00:27:49
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_6,Documentation,0,10:02:13,10:03:09,00:00:56,0,0,0,0,1,0,0,0,0,0,0,1,0,Screeening/Triage Area,0,10153_10387_7,NA,NA,NA,00:00:56,NA,NA,TRUE,Physician,241.55,0.9333333333333333,morning,6,Patient,Mobile Computer,00:27:49,00:28:45
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_7,Direct Care,Physical Exam/Vitals,10:03:09,10:04:59,00:01:50,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10153_10387_8,NA,NA,NA,00:01:50,NA,NA,TRUE,Physician,241.55,1.8333333333333333,morning,7,Patient,NA,00:28:45,00:30:35
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_8,Indirect Care,"Request Tests (Lab, Img, etc)",10:04:59,10:05:25,00:00:26,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10153_10387_9,NA,NA,NA,00:00:26,NA,NA,TRUE,Physician,241.55,0.43333333333333335,morning,8,Patient,NA,00:30:35,00:31:01
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_9,Documentation,0,10:05:25,10:06:52,00:01:27,0,0,0,0,0,0,0,0,1,0,1,0,0,Screeening/Triage Area,0,10153_10387_10,NA,NA,NA,00:01:27,NA,NA,TRUE,Physician,241.55,1.45,morning,9,NA,Desktop Computer,00:31:01,00:32:28
04-Jun-2025,10153,10387,Winston Scott,WS2,09:34:24,13:35:57,10153_10387_10,Supervision-Education,0,10:06:52,10:07:52,00:01:00,0,0,0,0,0,0,1,0,0,0,0,0,0,Screeening/Triage Area,0,10153_10387_11,NA,NA,NA,00:01:00,NA,NA,TRUE,Physician,241.55,1,morning,10,Allied Health Professional,NA,00:32:28,00:33:28
