session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What,Subcategories,start time,end time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Other,[With Whom] No One,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,active 1,is session complete?,health_professional_desc,total_session,total_activity,time_slot,task_order,with_whom,how,start_normalized_hms,end_normalized_hms
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_1,Activer Waiting,0,08:37:24,08:39:29,00:02:05,0,0,0,0,0,0,1,0,0,0,0,Reception Desk,0,10172_10186_2,00:02:05,TRUE,Clerk,240.4,2.0833333333333335,morning,1,NA,NA,00:00:00,00:02:05
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_2,Other,0,08:39:29,08:41:49,00:02:20,0,0,0,0,0,0,1,0,1,0,0,Reception Desk,Record search,10172_10186_3,00:02:20,TRUE,Clerk,240.4,2.3333333333333335,morning,2,NA,Desktop Computer,00:02:05,00:04:25
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_3,Inter Profesional Communication,0,08:41:49,08:42:18,00:00:29,0,1,0,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_4,00:00:29,TRUE,Clerk,240.4,0.48333333333333334,morning,3,Nurse,NA,00:04:25,00:04:54
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_4,Print Data Sheets,0,08:42:18,08:43:02,00:00:44,0,1,0,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_5,00:00:44,TRUE,Clerk,240.4,0.7333333333333333,morning,4,Nurse,NA,00:04:54,00:05:38
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_5,Inter Profesional Communication,0,08:43:02,08:45:52,00:02:50,0,0,0,0,0,1,0,0,0,0,0,Reception Desk,0,10172_10186_6,00:02:50,TRUE,Clerk,240.4,2.8333333333333335,morning,5,Other,NA,00:05:38,00:08:28
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_6,Activer Waiting,0,08:45:52,08:47:38,00:01:46,0,0,0,0,0,0,1,0,1,0,0,Reception Desk,Record search,10172_10186_7,00:01:46,TRUE,Clerk,240.4,1.7666666666666666,morning,6,NA,Desktop Computer,00:08:28,00:10:14
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_7,Register Patient,0,08:47:38,08:50:32,00:02:54,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_8,00:02:54,TRUE,Clerk,240.4,2.9,morning,7,Patient,Paper,00:10:14,00:13:08
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_8,Patient Communication,0,08:50:32,08:50:46,00:00:14,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_9,00:00:14,TRUE,Clerk,240.4,0.23333333333333334,morning,8,Patient,NA,00:13:08,00:13:22
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_9,Register Patient,0,08:50:46,08:53:03,00:02:17,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_10,00:02:17,TRUE,Clerk,240.4,2.283333333333333,morning,9,Patient,Paper,00:13:22,00:15:39
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_10,Patient Communication,0,08:53:03,08:53:14,00:00:11,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_11,00:00:11,TRUE,Clerk,240.4,0.18333333333333332,morning,10,Patient,NA,00:15:39,00:15:50
