session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What,Subcategories,start time,end time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Clerks,[With Whom] Patient Relation Reps,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Other,[With Whom] No one,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,active 1,is session complete?,health_professional_desc,total_session,total_session_hms,total_activity,time_slot,task_order,with_whom,how,start_normalized_hms,end_normalized_hms
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_1,Direct Care,Medical History,07:58:40,08:04:31,00:05:51,0,0,0,0,1,0,0,0,0,1,0,0,0,Screeening/Triage Area,0,10172_10181_2,00:05:51,TRUE,Physician,242.36666666666667,00:04:02.366667,5.85,morning,1,Patient,Paper,00:00:00,00:05:51
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_2,Documentation,0,08:04:31,08:07:22,00:02:51,0,0,0,0,1,0,0,0,0,1,0,0,0,Screeening/Triage Area,0,10172_10181_3,00:02:51,TRUE,Physician,242.36666666666667,00:04:02.366667,2.85,morning,2,Patient,Paper,00:05:51,00:08:42
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_3,Direct Care,Medical History,08:07:22,08:07:36,00:00:14,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10172_10181_4,00:00:14,TRUE,Physician,242.36666666666667,00:04:02.366667,0.23333333333333334,morning,3,Patient,NA,00:08:42,00:08:56
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_4,Documentation,0,08:07:36,08:11:09,00:03:33,0,0,0,0,1,0,0,0,0,1,0,0,0,Screeening/Triage Area,Multitask: History taking and documentation,10172_10181_5,00:03:33,TRUE,Physician,242.36666666666667,00:04:02.366667,3.55,morning,4,Patient,Paper,00:08:56,00:12:29
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_5,Direct Care,Physical Exam/Vitals,08:11:09,08:12:23,00:01:14,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10172_10181_6,00:01:14,TRUE,Physician,242.36666666666667,00:04:02.366667,1.2333333333333334,morning,5,Patient,NA,00:12:29,00:13:43
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_6,Direct Care,Patient Communication,08:12:23,08:12:43,00:00:20,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10172_10181_7,00:00:20,TRUE,Physician,242.36666666666667,00:04:02.366667,0.3333333333333333,morning,6,Patient,NA,00:13:43,00:14:03
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_7,Direct Care,Other Direct Care,08:12:43,08:14:29,00:01:46,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,Prepare for iv insertion,10172_10181_8,00:01:46,TRUE,Physician,242.36666666666667,00:04:02.366667,1.7666666666666666,morning,7,Patient,NA,00:14:03,00:15:49
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_8,Direct Care,Procedure,08:14:29,08:18:54,00:04:25,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,IV insertion and labs,10172_10181_9,00:04:25,TRUE,Physician,242.36666666666667,00:04:02.366667,4.416666666666667,morning,8,Patient,NA,00:15:49,00:20:14
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_9,Direct Care,Patient Communication,08:18:54,08:19:12,00:00:18,0,0,0,0,1,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10172_10181_10,00:00:18,TRUE,Physician,242.36666666666667,00:04:02.366667,0.3,morning,9,Patient,NA,00:20:14,00:20:32
26-Mar-2025,10172,10181,Web,GL1,07:58:40,12:01:02,10172_10181_10,Professional Communication,0,08:19:12,08:20:25,00:01:13,0,0,0,0,0,0,1,0,0,0,0,0,0,Corridors,0,10172_10181_11,00:01:13,TRUE,Physician,242.36666666666667,00:04:02.366667,1.2166666666666666,morning,10,Allied Health Professional,NA,00:20:32,00:21:45
