session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What (DR-NURSE v2),What (DR-NURSE v2) (subcategories),start time,end time,elapsed time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Clerk,[With Whom] Patient Relation Reps,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Student,[With Whom] Other,[With Whom] No one,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,multi with,num of multitask fragments,total overlapping time,is interrupting task?,interrupted by,num of interrupts,int task id 1,int start 1,int end 1,active 1,active 2,inactive 1,is session complete?
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_1,Inter-Professional Communication,0,08:46:59,08:47:51,00:00:52,00:00:52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_2,"",0,00:00:00,false,"",0,"","","",00:00:52,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_2,Direct Care,Physical Exam/Vitals,08:47:51,09:04:13,00:16:22,00:16:22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_3,"",0,00:00:00,false,"",0,"","","",00:16:22,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_3,Documentation,Clinical,09:04:13,09:07:03,00:02:50,00:02:50,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Observation Room,0,10175_10197_4,"",0,00:00:00,false,"",0,"","","",00:02:50,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_4,Direct Care,Physical Exam/Vitals,09:07:03,09:13:41,00:06:38,00:06:38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_5,"",0,00:00:00,false,"",0,"","","",00:06:38,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_5,Documentation,Clinical,09:13:41,09:18:44,00:05:03,00:05:03,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Observation Room,0,10175_10197_6,"",0,00:00:00,false,"",0,"","","",00:05:03,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_6,Direct Care,Patient Communication,09:18:44,09:24:16,00:05:32,00:05:32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_7,"",0,00:00:00,false,"",0,"","","",00:05:32,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_7,Direct Care,Physical Exam/Vitals,09:24:16,09:28:20,00:04:04,00:04:04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_8,"",0,00:00:00,false,"",0,"","","",00:04:04,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_8,Inter-Professional Communication,0,09:28:20,09:30:50,00:02:30,00:02:30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_9,"",0,00:00:00,false,"",0,"","","",00:02:30,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_9,Direct Care,Patient Communication,09:30:50,09:31:03,00:00:13,00:00:13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_10,"",0,00:00:00,false,"",0,"","","",00:00:13,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_10,Direct Care,Physical Exam/Vitals,09:31:03,09:31:53,00:00:50,00:00:50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_11,"",0,00:00:00,false,"",0,"","","",00:00:50,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_11,Documentation,Clinical,09:31:53,09:37:39,00:05:46,00:05:46,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Observation Room,0,10175_10197_12,"",0,00:00:00,false,"",0,"","","",00:05:46,"","",TRUE
01-Apr-2025,10175,10197,QEH,Vv5,08:46:59,12:47:08,10175_10197_12,Direct Care,Physical Exam/Vitals,09:37:39,09:38:33,00:00:54,00:00:54,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Observation Room,0,10175_10197_13,"",0,00:00:00,false,"",0,"","","",00:00:54,"","",TRUE
