session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What (RECORD CLERK),What (RECORD CLERK) (subcategories),start time,end time,elapsed time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Other,[With Whom] No One,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,multi with,num of multitask fragments,total overlapping time,is interrupting task?,interrupted by,num of interrupts,active 1,is session complete?
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_1,Activer Waiting,0,08:37:24,08:39:29,00:02:05,00:02:05,0,0,0,0,0,0,1,0,0,0,0,Reception Desk,0,10172_10186_2,"",0,00:00:00,false,"",0,00:02:05,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_2,Other,0,08:39:29,08:41:49,00:02:20,00:02:20,0,0,0,0,0,0,1,0,1,0,0,Reception Desk,Record search,10172_10186_3,"",0,00:00:00,false,"",0,00:02:20,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_3,Inter Profesional Communication,0,08:41:49,08:42:18,00:00:29,00:00:29,0,1,0,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_4,"",0,00:00:00,false,"",0,00:00:29,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_4,Print Data Sheets,0,08:42:18,08:43:02,00:00:44,00:00:44,0,1,0,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_5,"",0,00:00:00,false,"",0,00:00:44,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_5,Inter Profesional Communication,0,08:43:02,08:45:52,00:02:50,00:02:50,0,0,0,0,0,1,0,0,0,0,0,Reception Desk,0,10172_10186_6,"",0,00:00:00,false,"",0,00:02:50,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_6,Activer Waiting,0,08:45:52,08:47:38,00:01:46,00:01:46,0,0,0,0,0,0,1,0,1,0,0,Reception Desk,Record search,10172_10186_7,"",0,00:00:00,false,"",0,00:01:46,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_7,Register Patient,0,08:47:38,08:50:32,00:02:54,00:02:54,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_8,"",0,00:00:00,false,"",0,00:02:54,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_8,Patient Communication,0,08:50:32,08:50:46,00:00:14,00:00:14,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_9,"",0,00:00:00,false,"",0,00:00:14,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_9,Register Patient,0,08:50:46,08:53:03,00:02:17,00:02:17,0,0,1,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_10,"",0,00:00:00,false,"",0,00:02:17,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_10,Patient Communication,0,08:53:03,08:53:14,00:00:11,00:00:11,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_11,"",0,00:00:00,false,"",0,00:00:11,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_11,Other,0,08:53:14,08:55:31,00:02:17,00:02:17,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Logged patient information into savance,10172_10186_12,"",0,00:00:00,false,"",0,00:02:17,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_12,Other,0,08:55:31,08:56:38,00:01:07,00:01:07,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,Retrieved patient’s medical record number,10172_10186_13,"",0,00:00:00,false,"",0,00:01:07,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_13,Patient Communication,0,08:56:38,08:56:45,00:00:07,00:00:07,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_14,"",0,00:00:00,false,"",0,00:00:07,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_14,Patient Communication,0,08:56:45,08:57:33,00:00:48,00:00:48,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_15,"",0,00:00:00,false,"",0,00:00:48,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_15,Register Patient,0,08:57:33,08:59:42,00:02:09,00:02:09,0,0,1,0,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_16,"",0,00:00:00,false,"",0,00:02:09,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_16,Patient Communication,0,08:59:42,08:59:55,00:00:13,00:00:13,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_17,"",0,00:00:00,false,"",0,00:00:13,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_17,Other,0,08:59:55,09:02:49,00:02:54,00:02:54,0,0,1,0,0,0,0,1,1,0,0,Reception Desk,Logged patient data into Savance,10172_10186_18,"",0,00:00:00,false,"",0,00:02:54,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_18,Patient Communication,0,09:02:49,09:02:59,00:00:10,00:00:10,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_19,"",0,00:00:00,false,"",0,00:00:10,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_19,Inter Profesional Communication,0,09:02:59,09:03:28,00:00:29,00:00:29,0,0,0,0,0,1,0,0,0,0,1,Reception Desk,0,10172_10186_20,"",0,00:00:00,false,"",0,00:00:29,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_20,Register Patient,0,09:03:28,09:07:01,00:03:33,00:03:33,0,0,1,0,0,0,0,1,1,0,0,Reception Desk,0,10172_10186_21,"",0,00:00:00,false,"",0,00:03:33,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_21,Inter Profesional Communication,0,09:07:01,09:08:15,00:01:14,00:01:14,1,0,0,0,0,0,0,0,0,0,0,Reception Desk,Requested printing of sheets,10172_10186_22,"",0,00:00:00,false,"",0,00:01:14,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_22,Patient Communication,0,09:08:15,09:08:25,00:00:10,00:00:10,0,0,1,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_23,"",0,00:00:00,false,"",0,00:00:10,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_23,Print Data Sheets,0,09:08:25,09:08:55,00:00:30,00:00:30,1,0,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_24,"",0,00:00:00,false,"",0,00:00:30,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_24,Other,0,09:08:55,09:10:58,00:02:03,00:02:03,0,0,0,0,0,0,1,1,1,0,0,Reception Desk,Logged patient information into Savance,10172_10186_25,"",0,00:00:00,false,"",0,00:02:03,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_25,Activer Waiting,0,09:10:58,09:12:29,00:01:31,00:01:31,0,0,0,0,0,0,1,0,0,0,0,Reception Desk,0,10172_10186_26,"",0,00:00:00,false,"",0,00:01:31,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_26,Inter Profesional Communication,0,09:12:29,09:12:43,00:00:14,00:00:14,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_27,"",0,00:00:00,false,"",0,00:00:14,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_27,Record Management,Retrieve Record,09:12:43,09:13:08,00:00:25,00:00:25,0,0,0,0,0,0,1,1,0,0,0,Reception Desk,0,10172_10186_28,"",0,00:00:00,false,"",0,00:00:25,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_28,Inter Profesional Communication,0,09:13:08,09:13:30,00:00:22,00:00:22,0,1,0,0,0,0,0,1,0,0,0,Reception Desk,0,10172_10186_29,"",0,00:00:00,false,"",0,00:00:22,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_29,Patient Communication,0,09:13:30,09:14:17,00:00:47,00:00:47,0,0,1,0,0,0,0,1,0,0,0,Waiting Area,0,10172_10186_30,"",0,00:00:00,false,"",0,00:00:47,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_30,Inter Profesional Communication,0,09:14:17,09:16:49,00:02:32,00:02:32,0,1,0,0,0,0,0,0,0,0,0,Reception Desk,0,10172_10186_31,"",0,00:00:00,false,"",0,00:02:32,TRUE
28-Mar-2025,10172,10186,Qeh,GL3,08:37:24,12:37:48,10172_10186_31,In Transit,0,09:16:49,09:18:38,00:01:49,00:01:49,0,0,0,0,0,0,1,1,0,0,0,Other,0,10172_10186_32,"",0,00:00:00,false,"",0,00:01:49,TRUE
