session date,observer id,session id,location id,participant id,session start,session end,observer/session/task id,What (DR-NURSE),What (DR-NURSE) (subcategories),start time,end time,elapsed time,total time,[With Whom] Doctor,[With Whom] Nurse,[With Whom] Clerks,[With Whom] Patient Relation Reps,[With Whom] Patient,[With Whom] Relative,[With Whom] Allied Health Professional,[With Whom] Other,[With Whom] No one,[How] Paper Based Record,[How] Desktop Computer,[How] Mobile Computer,[How] Phone,Where,Comments,ended by,multi with,num of multitask fragments,total overlapping time,is interrupting task?,interrupted by,num of interrupts,active 1,is session complete?
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_1,Professional Communication,0,07:51:24,07:53:27,00:02:03,00:02:03,1,0,0,0,0,0,0,0,0,1,0,0,0,Corridors,0,10154_10180_2,"",0,00:00:00,false,"",0,00:02:03,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_2,Documentation,0,07:53:27,07:54:29,00:01:02,00:01:02,0,0,0,0,0,0,0,0,1,1,0,0,0,Corridors,0,10154_10180_3,"",0,00:00:00,false,"",0,00:01:02,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_3,Professional Communication,0,07:54:29,07:55:11,00:00:42,00:00:42,1,0,0,0,0,0,0,0,0,0,0,0,0,Corridors,0,10154_10180_4,"",0,00:00:00,false,"",0,00:00:42,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_4,Documentation,0,07:55:11,07:56:39,00:01:28,00:01:28,0,0,0,0,0,0,0,0,1,1,0,0,0,Doctor/Nurse WorkStation,0,10154_10180_5,"",0,00:00:00,false,"",0,00:01:28,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_5,Other,0,07:56:39,07:57:12,00:00:33,00:00:33,0,0,0,0,0,0,0,0,1,1,0,0,0,Doctor/Nurse WorkStation,0,10154_10180_6,"",0,00:00:00,false,"",0,00:00:33,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_6,In Transit,0,07:57:12,07:57:32,00:00:20,00:00:20,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_7,"",0,00:00:00,false,"",0,00:00:20,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_7,Direct Care,Patient Communication,07:57:32,07:57:51,00:00:19,00:00:19,0,0,0,0,1,0,0,0,0,0,0,0,0,Observation Room,0,10154_10180_8,"",0,00:00:00,false,"",0,00:00:19,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_8,Indirect Care,Request Medical Record (old notes form),07:57:51,07:58:10,00:00:19,00:00:19,0,0,0,0,0,0,0,0,1,0,0,0,0,Observation Room,0,10154_10180_9,"",0,00:00:00,false,"",0,00:00:19,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_9,In Transit,0,07:58:10,07:58:24,00:00:14,00:00:14,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_10,"",0,00:00:00,false,"",0,00:00:14,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_10,Documentation,0,07:58:24,07:59:44,00:01:20,00:01:20,0,0,0,0,0,0,0,0,1,1,0,0,0,Screeening/Triage Area,0,10154_10180_11,"",0,00:00:00,false,"",0,00:01:20,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_11,Professional Communication,0,07:59:44,08:02:34,00:02:50,00:02:50,0,0,0,0,0,0,1,0,0,0,0,0,0,Screeening/Triage Area,Discussing patients from previous day. ,10154_10180_12,"",0,00:00:00,false,"",0,00:02:50,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_12,Indirect Care,Check Medical Record,08:02:34,08:03:19,00:00:45,00:00:45,0,0,0,0,0,0,1,0,0,0,0,0,0,Screeening/Triage Area,0,10154_10180_13,"",0,00:00:00,false,"",0,00:00:45,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_13,Professional Communication,0,08:03:19,08:04:09,00:00:50,00:00:50,0,1,0,0,0,0,0,0,0,0,0,0,0,Screeening/Triage Area,0,10154_10180_14,"",0,00:00:00,false,"",0,00:00:50,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_14,Documentation,0,08:04:09,08:06:00,00:01:51,00:01:51,0,0,0,0,0,0,0,0,1,1,0,0,0,Doctor/Nurse WorkStation,0,10154_10180_15,"",0,00:00:00,false,"",0,00:01:51,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_15,Indirect Care,Check Medical Record,08:06:00,08:06:25,00:00:25,00:00:25,0,0,0,0,0,0,0,0,1,0,0,0,0,Doctor/Nurse WorkStation,0,10154_10180_16,"",0,00:00:00,false,"",0,00:00:25,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_16,In Transit,0,08:06:25,08:06:52,00:00:27,00:00:27,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_17,"",0,00:00:00,false,"",0,00:00:27,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_17,Social-Personal Activities,0,08:06:52,08:07:04,00:00:12,00:00:12,0,1,0,0,0,0,0,0,0,0,0,0,0,Corridors,0,10154_10180_18,"",0,00:00:00,false,"",0,00:00:12,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_18,Professional Communication,0,08:07:04,08:08:03,00:00:59,00:00:59,1,1,0,0,0,0,0,0,0,0,0,0,0,Treatment Room,0,10154_10180_19,"",0,00:00:00,false,"",0,00:00:59,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_19,Documentation,0,08:08:03,08:10:04,00:02:01,00:02:01,0,0,0,0,0,0,0,0,1,1,0,0,0,Treatment Room,0,10154_10180_20,"",0,00:00:00,false,"",0,00:02:01,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_20,Indirect Care,Check Medical Record,08:10:04,08:11:06,00:01:02,00:01:02,0,1,0,0,0,0,0,0,0,1,0,0,0,Treatment Room,0,10154_10180_21,"",0,00:00:00,false,"",0,00:01:02,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_21,Professional Communication,0,08:11:06,08:11:19,00:00:13,00:00:13,1,1,0,0,0,0,0,0,0,0,0,0,0,Treatment Room,0,10154_10180_22,"",0,00:00:00,false,"",0,00:00:13,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_22,In Transit,0,08:11:19,08:11:25,00:00:06,00:00:06,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_23,"",0,00:00:00,false,"",0,00:00:06,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_23,Social-Personal Activities,0,08:11:25,08:13:12,00:01:47,00:01:47,0,1,0,0,0,0,0,0,0,0,0,0,0,Corridors,0,10154_10180_24,"",0,00:00:00,false,"",0,00:01:47,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_24,In Transit,0,08:13:12,08:13:24,00:00:12,00:00:12,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_25,"",0,00:00:00,false,"",0,00:00:12,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_25,Documentation,0,08:13:24,08:13:44,00:00:20,00:00:20,0,0,0,0,0,0,0,0,1,1,0,0,0,Treatment Room,0,10154_10180_26,"",0,00:00:00,false,"",0,00:00:20,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_26,Direct Care,Patient Communication,08:13:44,08:14:13,00:00:29,00:00:29,0,0,0,0,1,0,0,0,0,0,0,0,0,Treatment Room,0,10154_10180_27,"",0,00:00:00,false,"",0,00:00:29,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_27,In Transit,0,08:14:13,08:14:40,00:00:27,00:00:27,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_28,"",0,00:00:00,false,"",0,00:00:27,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_28,Professional Communication,0,08:14:40,08:14:50,00:00:10,00:00:10,1,0,0,0,0,0,0,0,0,0,0,0,0,Treatment Room,0,10154_10180_29,"",0,00:00:00,false,"",0,00:00:10,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_29,Documentation,0,08:14:50,08:14:56,00:00:06,00:00:06,0,0,0,0,0,0,0,0,1,1,0,0,0,Treatment Room,0,10154_10180_30,"",0,00:00:00,false,"",0,00:00:06,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_30,Professional Communication,0,08:14:56,08:15:02,00:00:06,00:00:06,1,0,0,0,0,0,0,0,0,0,0,0,0,Treatment Room,0,10154_10180_31,"",0,00:00:00,false,"",0,00:00:06,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_31,In Transit,0,08:15:02,08:15:25,00:00:23,00:00:23,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_32,"",0,00:00:00,false,"",0,00:00:23,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_32,Professional Communication,0,08:15:25,08:16:37,00:01:12,00:01:12,1,0,0,0,0,0,0,0,0,0,0,0,0,Corridors,0,10154_10180_33,"",0,00:00:00,false,"",0,00:01:12,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_33,Professional Communication,0,08:16:37,08:16:51,00:00:14,00:00:14,0,0,0,0,0,0,1,0,0,0,0,0,0,Corridors,0,10154_10180_34,"",0,00:00:00,false,"",0,00:00:14,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_34,Professional Communication,0,08:16:51,08:17:14,00:00:23,00:00:23,1,0,0,0,0,0,0,0,0,0,0,0,0,Corridors,0,10154_10180_35,"",0,00:00:00,false,"",0,00:00:23,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_35,In Transit,0,08:17:14,08:17:32,00:00:18,00:00:18,0,0,0,0,0,0,0,0,1,0,0,0,0,Corridors,0,10154_10180_36,"",0,00:00:00,false,"",0,00:00:18,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_36,Documentation,0,08:17:32,08:17:55,00:00:23,00:00:23,0,0,0,0,0,0,0,0,1,1,0,0,0,Observation Room,0,10154_10180_37,"",0,00:00:00,false,"",0,00:00:23,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_37,Direct Care,Patient Communication,08:17:55,08:18:13,00:00:18,00:00:18,0,0,0,0,1,0,0,0,0,0,0,0,0,Observation Room,0,10154_10180_38,"",0,00:00:00,false,"",0,00:00:18,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_38,Documentation,0,08:18:13,08:18:39,00:00:26,00:00:26,0,0,0,0,0,0,0,0,1,1,0,0,0,Observation Room,0,10154_10180_39,"",0,00:00:00,false,"",0,00:00:26,TRUE
26-Mar-2025,10154,10180,QEH,AT1,07:51:24,11:52:59,10154_10180_39,Documentation,0,08:18:39,08:19:23,00:00:44,00:00:44,0,0,0,0,0,0,0,0,1,1,0,0,0,Corridors,0,10154_10180_40,"",0,00:00:00,false,"",0,00:00:44,TRUE
